,BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,Risk
0,1,1100,25860.0,39025.0,HomeImp,Other,10.5,0.0,0.0,94.366666667,1.0,9.0,,LOW
1,1,1300,70053.0,68400.0,HomeImp,Other,7.0,0.0,2.0,121.83333333,0.0,14.0,,LOW
2,1,1500,13500.0,16700.0,HomeImp,Other,4.0,0.0,0.0,149.46666667,1.0,10.0,,LOW
3,1,1500,,,,,,,,,,,,N/A
4,0,1700,97800.0,112000.0,HomeImp,Office,3.0,0.0,0.0,93.333333333,0.0,14.0,,LOW
5,1,1700,30548.0,40320.0,HomeImp,Other,9.0,0.0,0.0,101.46600191,1.0,8.0,37.113613558,LOW
6,1,1800,48649.0,57037.0,HomeImp,Other,5.0,3.0,2.0,77.1,1.0,17.0,,LOW
7,1,1800,28502.0,43034.0,HomeImp,Other,11.0,0.0,0.0,88.766029879,0.0,8.0,36.884894093,LOW
8,1,2000,32700.0,46740.0,HomeImp,Other,3.0,0.0,2.0,216.93333333,1.0,12.0,,LOW
9,1,2000,,62250.0,HomeImp,Sales,16.0,0.0,0.0,115.8,0.0,13.0,,LOW
10,1,2000,22608.0,,,,18.0,,,,,,,N/A
11,1,2000,20627.0,29800.0,HomeImp,Office,11.0,0.0,1.0,122.53333333,1.0,9.0,,LOW
12,1,2000,45000.0,55000.0,HomeImp,Other,3.0,0.0,0.0,86.066666667,2.0,25.0,,LOW
13,0,2000,64536.0,87400.0,,Mgr,2.5,0.0,0.0,147.13333333,0.0,24.0,,LOW
14,1,2100,71000.0,83850.0,HomeImp,Other,8.0,0.0,1.0,123.0,0.0,16.0,,LOW
15,1,2200,24280.0,34687.0,HomeImp,Other,,0.0,1.0,300.86666667,0.0,8.0,,LOW
16,1,2200,90957.0,102600.0,HomeImp,Mgr,7.0,2.0,6.0,122.9,1.0,22.0,,HIGH
17,1,2200,23030.0,,,,19.0,,,,,,3.7113122995,N/A
18,1,2300,28192.0,40150.0,HomeImp,Other,4.5,0.0,0.0,54.6,1.0,16.0,,LOW
19,0,2300,102370.0,120953.0,HomeImp,Office,2.0,0.0,0.0,90.992533467,0.0,13.0,31.588503178,LOW
20,1,2300,37626.0,46200.0,HomeImp,Other,3.0,0.0,1.0,122.26666667,1.0,14.0,,LOW
21,1,2400,50000.0,73395.0,HomeImp,ProfExe,5.0,1.0,0.0,,1.0,0.0,,LOW
22,1,2400,28000.0,40800.0,HomeImp,Mgr,12.0,0.0,0.0,67.2,2.0,22.0,,LOW
23,1,2400,18000.0,,HomeImp,Mgr,22.0,,2.0,121.73333333,0.0,10.0,,LOW
24,1,2400,,17180.0,HomeImp,Other,,0.0,0.0,14.566666667,3.0,4.0,,LOW
25,1,2400,34863.0,47471.0,HomeImp,Mgr,12.0,0.0,0.0,70.491080032,1.0,21.0,38.263600731,LOW
26,0,2400,98449.0,117195.0,HomeImp,Office,4.0,0.0,0.0,93.811774855,0.0,13.0,29.681827045,LOW
27,1,2500,15000.0,20200.0,HomeImp,,18.0,0.0,0.0,136.06666667,1.0,19.0,,LOW
28,1,2500,25116.0,36350.0,HomeImp,Other,10.0,1.0,2.0,276.96666667,0.0,9.0,,LOW
29,0,2500,7229.0,44516.0,HomeImp,Self,,0.0,0.0,208.0,0.0,12.0,,LOW
30,0,2500,71408.0,78600.0,HomeImp,ProfExe,8.0,0.0,0.0,255.73333333,0.0,12.0,,LOW
31,1,2800,50795.0,63100.0,HomeImp,Self,26.0,2.0,15.0,145.63333333,3.0,45.0,,HIGH
32,1,2800,4000.0,60850.0,HomeImp,Other,16.0,4.0,0.0,112.63333333,2.0,9.0,,LOW
